Amount of iterations, Amount of points, Time GPU, Time CPU
960, 350, 3.647519, 108.271523
10, 370, 1.043286, 1.197701
60, 370, 1.167341, 7.171671
110, 370, 1.288024, 13.124827
160, 370, 1.444013, 19.100224
210, 370, 1.566888, 25.031067
260, 370, 1.716824, 31.019663
310, 370, 1.856247, 36.965107
360, 370, 1.980437, 42.919979
410, 370, 2.133065, 48.949188
460, 370, 2.255510, 54.993145
510, 370, 2.411736, 61.173908
560, 370, 2.514124, 66.945908
610, 370, 2.658865, 72.885506
660, 370, 2.834707, 78.774567
710, 370, 2.925556, 84.962921
760, 370, 3.084569, 90.969742
810, 370, 3.204376, 96.987488
860, 370, 3.331526, 102.719727
910, 370, 3.470904, 108.637474
960, 370, 3.601236, 114.455910
10, 390, 1.065921, 1.274009
60, 390, 1.159370, 7.553725
110, 390, 1.307581, 13.914966
160, 390, 1.469563, 20.216269
210, 390, 1.562944, 26.516556
260, 390, 1.721595, 32.781517
310, 390, 1.854571, 39.073315
360, 390, 1.979798, 45.279224
410, 390, 2.109606, 51.480370
460, 390, 2.248644, 57.780663
510, 390, 2.394507, 64.093987
560, 390, 2.587801, 70.477402
610, 390, 2.676421, 76.707695
660, 390, 2.807877, 83.078979
710, 390, 2.954009, 89.413681
760, 390, 3.065963, 95.658134
810, 390, 3.235841, 102.867371
860, 390, 3.360867, 108.665993
910, 390, 3.492721, 115.116066
960, 390, 3.622361, 121.506119
